month,year,amount,dt_unit,dt_code,dt_desc,cat_code,cat_desc,monthyear
May,2012,8,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-May
Jun,2012,-5.1,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-Jun
Jul,2012,-0.1,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-Jul
Aug,2012,9.5,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-Aug
Sep,2012,-7,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-Sep
Oct,2012,8,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-Oct
Nov,2012,19.2,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-Nov
Dec,2012,21.6,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,12-Dec
Jan,2013,-29.5,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Jan
Feb,2013,-10.1,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Feb
Mar,2013,8,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Mar
Apr,2013,0.4,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Apr
May,2013,2.4,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-May
Jun,2013,-6.7,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Jun
Jul,2013,4.9,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Jul
Aug,2013,3.2,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Aug
Sep,2013,-3.5,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Sep
Oct,2013,5.1,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Oct
Nov,2013,13.3,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Nov
Dec,2013,34.5,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,13-Dec
Jan,2014,-36.4,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Jan
Feb,2014,-6.2,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Feb
Mar,2014,13.2,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Mar
Apr,2014,0.1,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Apr
May,2014,1.7,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-May
Jun,2014,-0.3,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Jun
Jul,2014,2.3,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Jul
Aug,2014,0.2,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Aug
Sep,2014,1.7,PCT,MPCSM,Sales - Monthly Percent Change,4541,4541: Electronic Shopping and Mail-order Houses,14-Sep
